,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,No_of_Votes,Gross,Dir_class,IsScored,Cast_class
304,1957,2,161,0,8.1,203.463,44.908,0,True,1
305,1954,0,108,1,8.1,142.107,9.6,0,True,0
307,1951,1,111,0,8.1,31.568,3.969893,2,True,0
309,1949,1,104,1,8.1,158.731,0.449191,0,True,0
311,1940,2,99,0,8.1,28.45,0.20329999999999998,0,True,0
312,1940,1,130,1,8.1,123.94200000000001,4.359999999999999,1,True,0
313,1939,1,129,0,8.1,107.017,9.6,0,True,0
314,1939,2,238,1,8.1,290.074,198.676459,0,True,0
316,1934,1,105,1,8.1,94.016,4.359999999999999,0,True,0
327,2016,0,128,0,8.0,505.918,151.101803,0,True,1
328,2016,2,118,1,8.0,213.97,51.739495,0,True,1
329,2015,1,144,0,8.0,760.094,228.433663,3,True,2
330,2016,2,108,2,8.0,434.14300000000003,341.26824799999997,0,True,0
332,2013,2,137,0,8.0,38.746,1.506975,1,True,1
333,2017,2,113,0,8.0,141.923,132.422809,0,True,0
334,2019,1,154,1,8.0,31.886,5.566534,0,True,0
336,2013,0,96,0,8.0,81.77,1.010414,0,True,0
337,2014,0,150,1,8.0,114.316,2.625803,0,True,0
338,2014,1,114,0,8.0,685.201,91.125683,0,True,1
339,2014,1,121,1,8.0,1043.455,333.1766,0,True,1
340,2017,1,164,0,8.0,461.82300000000004,92.054159,3,True,2
341,2013,0,126,0,8.0,540.772,25.568251,1,True,2
342,2018,1,134,1,8.0,450.349,216.42804199999998,1,True,0
343,2015,0,156,0,8.0,705.589,183.637894,2,True,3
344,2012,1,103,1,8.0,462.252,17.73857,0,True,1
345,2010,0,115,0,8.0,79.2,0.100119,0,True,0
346,2010,2,118,2,8.0,639.6030000000001,138.797449,0,True,0
347,2011,1,146,0,8.0,428.521,169.708112,0,True,0
348,2016,0,108,1,8.0,902.669,363.07070899999997,0,True,0
349,2009,2,119,0,8.0,45.803000000000004,0.10666199999999999,0,True,0
352,2010,1,165,0,8.0,98.575,4.018695,0,True,1
354,2008,1,120,1,8.0,798.8820000000001,141.319928,1,True,0
355,2010,0,108,0,8.0,699.673,106.954678,1,True,1
356,2007,0,115,0,8.0,98.09700000000001,0.00806,0,True,0
357,2012,1,143,2,8.0,1260.806,623.279547,0,True,1
358,2007,1,96,0,8.0,88.656,4.445755999999999,0,True,1
359,2013,0,117,1,8.0,441.61400000000003,27.298285,0,True,1
360,2006,2,117,1,8.0,448.93,163.56645899999998,0,True,0
361,2006,0,143,0,8.0,499.439,57.366262,1,True,1
362,2007,1,115,1,8.0,604.694,227.47107,0,True,1
363,2004,2,88,1,8.0,50.61,0.238507,0,True,0
364,2005,0,124,1,8.0,738.5120000000001,74.10382,0,True,0
365,2007,1,112,1,8.0,103.284,5.990075,0,True,0
367,2007,2,111,2,8.0,641.645,206.445654,1,True,0
368,2006,1,144,1,8.0,582.239,167.44595999999999,0,True,0
369,2004,0,137,1,8.0,683.9,66.20818299999999,2,True,1
370,2003,0,110,0,8.0,42.399,0.502028,0,True,0
371,2003,0,103,1,8.0,77.52,2.380788,0,True,0
372,2014,2,126,1,8.0,77.554,2.086345,1,True,0
373,2005,1,144,2,8.0,176.151,61.649910999999996,1,True,0
374,2003,2,186,0,8.0,63.46,1.787378,0,True,0
375,2002,1,101,0,8.0,117.857,0.169659,0,True,0
376,2003,1,143,2,8.0,1015.1220000000001,305.41391799999997,0,True,2
377,2003,2,125,0,8.0,415.218,66.257002,1,True,1
378,2004,2,115,2,8.0,657.047,261.44109199999997,0,True,0
380,2003,0,178,1,8.0,137.963,1.530386,1,True,1
382,2001,0,113,0,8.0,740.086,1.480006,0,True,0
383,1999,0,188,0,8.0,289.742,22.455976,0,True,1
384,2000,2,140,0,8.0,102.285,4.184036,0,True,0
385,1999,2,112,1,8.0,82.002,6.203043999999999,2,True,0
387,1998,0,105,0,8.0,78.34100000000001,1.64778,0,True,0
388,1998,0,110,0,8.0,36.419000000000004,5.595428,0,True,0
389,1999,2,86,2,8.0,172.083,23.159305,0,True,0
391,1996,0,135,0,8.0,86.83800000000001,24.475416,0,True,0
392,1996,2,136,0,8.0,37.564,13.417292,0,True,0
393,1995,0,129,1,8.0,578.443,57.141459,1,True,0
394,1995,1,83,1,8.0,129.231,0.515905,0,True,0
395,1993,2,76,2,8.0,300.208,75.082668,0,True,0
396,1993,2,101,1,8.0,577.991,70.906973,0,True,0
397,1993,0,180,1,8.0,28.825,4.496583,0,True,0
398,1992,1,156,0,8.0,263.918,63.895607,0,True,1
399,1992,2,90,2,8.0,373.845,217.35021899999998,0,True,0
400,1991,1,189,0,8.0,142.11,70.405498,0,True,1
401,1991,2,84,2,8.0,417.178,218.96761999999998,0,True,0
402,1990,2,181,0,8.0,240.266,184.208848,0,True,0
403,1989,0,120,0,8.0,89.429,27.545444999999997,0,True,0
404,1988,2,133,0,8.0,473.064,178.79999999999998,0,True,1
406,1987,2,98,2,8.0,393.899,30.857813999999998,1,True,0
407,1987,2,128,0,8.0,64.72200000000001,3.3339689999999997,0,True,0
408,1987,2,104,1,8.0,31.163,4.542825,0,True,0
410,1984,1,107,1,8.0,799.7950000000001,38.4,0,True,0
411,1982,2,191,2,8.0,217.66400000000002,52.767889,0,True,0
413,1979,2,130,0,8.0,65.625,30.177511,0,True,1
414,1977,0,93,1,8.0,251.823,39.199999999999996,0,True,0
415,1975,0,124,0,8.0,543.388,260.0,0,True,0
416,1975,2,125,1,8.0,235.65200000000002,50.0,1,True,0
417,1974,0,106,0,8.0,143.359,86.3,0,True,0
418,1973,0,151,1,8.0,121.62700000000001,53.266999999999996,1,True,0
419,1973,0,122,0,8.0,362.39300000000003,232.90614499999998,0,True,0
421,1971,0,118,1,8.0,42.456,29.133,0,True,0
422,1971,2,181,0,8.0,39.491,80.5,0,True,0
423,1970,1,113,0,8.0,27.067,0.54194,0,True,0
424,1969,2,110,1,8.0,201.888,102.308889,0,True,1
426,1968,2,112,1,8.0,165.167,33.395426,0,True,0
427,1967,0,106,0,8.0,253.67600000000002,104.94530499999999,0,True,0
429,1965,2,172,0,8.0,205.425,163.214286,0,True,0
430,1965,0,197,1,8.0,69.903,111.722,2,True,0
431,1964,0,99,0,8.0,198.219,14.5,0,True,0
432,1963,0,138,0,8.0,108.84400000000001,0.05069,2,True,0
434,1961,0,134,1,8.0,75.06700000000001,8.283999999999999,0,True,0
435,1960,0,174,0,8.0,66.621,19.516,1,True,0
436,1959,1,141,0,8.0,56.305,12.535,3,True,0
437,1959,0,161,1,8.0,59.847,11.899999999999999,0,True,1
438,1958,1,95,1,8.0,98.431,2.237659,0,True,0
439,1958,0,108,0,8.0,45.062,17.570324,0,True,0
442,1955,0,92,1,8.0,81.98,0.654,0,True,0
447,1951,0,122,0,8.0,99.182,8.0,0,True,0
454,1946,1,170,1,8.0,57.259,23.65,0,True,0
456,1941,1,100,1,8.0,148.928,2.10806,0,True,0
457,1940,1,129,1,8.0,85.559,0.055,0,True,0
458,1939,2,102,2,8.0,371.379,2.0760199999999998,0,True,0
461,1930,2,152,1,8.0,57.318,3.27,0,True,0
462,1925,0,75,0,8.0,53.054,0.050969999999999994,0,True,0
463,2019,1,130,0,7.9,454.20300000000003,165.359751,0,True,2
465,2018,0,121,1,7.9,62.754,3.313513,0,True,0
466,2019,2,137,0,7.9,246.644,2.0,0,True,1
467,2017,1,132,1,7.9,212.651,18.095701,0,True,0
468,2016,1,100,0,7.9,53.818,0.258168,0,True,0
469,2018,2,101,2,7.9,139.114,32.015231,3,True,1
470,2016,1,101,0,7.9,111.483,5.202582,0,True,0
471,2016,0,118,0,7.9,189.4,5.875006,0,True,0
472,2016,1,106,0,7.9,85.10900000000001,3.2371179999999997,0,True,0
473,2017,1,130,1,7.9,587.775,315.058289,0,True,1
474,2014,0,117,1,7.9,466.134,32.381218,0,True,1
475,2019,1,108,0,7.9,297.918,0.349555,1,True,2
476,2016,1,116,0,7.9,594.181,100.546139,2,True,0
477,2015,2,138,2,7.9,860.823,936.6622249999999,1,True,0
478,2013,0,109,1,7.9,141.457,8.114627,3,True,2
479,2014,1,132,2,7.9,659.763,233.92153399999998,0,True,2
480,2011,0,157,1,7.9,41.995,0.13873,0,True,0
481,2011,2,100,0,7.9,230.624,44.671682,0,True,0
482,2014,1,113,2,7.9,600.004,100.206256,0,True,2
483,2012,1,127,1,7.9,93.09,6.739491999999999,1,True,0
484,2019,0,209,1,7.9,324.72,7.0,3,True,3
485,2009,0,155,1,7.9,93.56,2.084637,0,True,0
486,2009,0,97,0,7.9,335.152,5.009677,0,True,1
487,2008,0,114,0,7.9,205.609,2.122065,0,True,0
488,2009,0,112,1,7.9,638.202,115.64623499999999,0,True,0
489,2008,1,109,1,7.9,289.415,26.236603,0,True,0
491,2014,0,165,0,7.9,335.533,25.379974999999998,3,True,2
492,2007,0,113,0,7.9,56.625,1.185783,0,True,0
493,2009,1,127,2,7.9,577.336,257.73001899999997,0,True,0
494,2008,0,107,0,7.9,390.334,7.75713,0,True,0
496,2006,1,141,0,7.9,154.011,13.756082,3,True,0
497,2006,0,117,0,7.9,107.29,2.280348,0,True,0
498,2012,2,127,0,7.9,580.708,124.987023,2,True,0
499,2009,2,87,2,7.9,199.696,21.002919,1,True,2
501,2004,1,97,1,7.9,57.43,3.6351639999999996,0,True,0
502,2008,1,126,2,7.9,939.644,318.412101,0,True,0
503,2004,1,99,0,7.9,512.249,13.542874,0,True,0
505,2003,0,138,1,7.9,419.42,90.13519099999999,2,True,2
506,2004,2,142,2,7.9,552.493,249.358727,1,True,0
507,2002,1,120,1,7.9,173.999,53.710018999999996,0,True,1
508,2002,0,112,1,7.9,104.691,9.284265,0,True,0
509,2001,0,98,0,7.9,44.618,1.05983,0,True,0
510,2001,2,115,1,7.9,42.897,1.0000449999999999,0,True,0
511,2002,1,119,1,7.9,508.771,121.661683,0,True,1
512,2000,0,114,1,7.9,49.721000000000004,1.221261,0,True,0
513,2006,0,109,0,7.9,465.113,35.552383,2,True,3
514,2000,0,122,0,7.9,252.586,32.53485,0,True,0
515,2001,0,147,1,7.9,322.031,7.220243,3,True,0
516,1999,2,92,2,7.9,527.5120000000001,245.85217899999998,0,True,1
517,1997,0,155,0,7.9,239.473,26.40064,0,True,0
519,1994,0,102,1,7.9,31.59,2.201126,0,True,0
520,1993,0,119,1,7.9,206.918,12.2815,0,True,0
521,1993,2,94,0,7.9,89.836,1.3249739999999999,0,True,0
